Project Name,Package Name,Type Name,Method Name,Code Smell
Reservation-System-Starter,flight.reservation,ScenarioTest,thenFlightNotAvailable,Long Statement
Reservation-System-Starter,flight.reservation,ScenarioTest,initFlights,Magic Number
Reservation-System-Starter,flight.reservation,ScenarioTest,initPassengers,Magic Number
Reservation-System-Starter,flight.reservation,ScenarioTest,thenTheBookingShouldBeStopped,Long Statement
Reservation-System-Starter,flight.reservation,ScenarioTest,thenTheBookingShouldBeStopped,Magic Number
Reservation-System-Starter,flight.reservation,ScenarioTest,thenTheBookingShouldBeStopped,Magic Number
Reservation-System-Starter,flight.reservation,ScenarioTest,thenTheBookingShouldBeStopped,Magic Number
Reservation-System-Starter,flight.reservation,ScenarioTest,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,ScenarioTest,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,ScenarioTest,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,ScenarioTest,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,ScenarioTest,init,Magic Number
Reservation-System-Starter,flight.reservation,ScenarioTest,initCreditCard,Magic Number
Reservation-System-Starter,flight.reservation,ScenarioTest,thenThePaymentAndBookingShouldNotSucceed,Magic Number
Reservation-System-Starter,flight.reservation,ScenarioTest,thenTheBookingShouldNotSucceed,Magic Number
Reservation-System-Starter,flight.reservation,ScenarioTest,initCreditCard,Magic Number
Reservation-System-Starter,flight.reservation,ScenarioTest,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,ScenarioTest,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,ScenarioTest,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,ScenarioTest,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,CustomerTwoPassengersPaypalPayment,thenFlightNotAvailable,Long Statement
Reservation-System-Starter,flight.reservation,CustomerTwoPassengersPaypalPayment,initFlights,Magic Number
Reservation-System-Starter,flight.reservation,CustomerTwoPassengersPaypalPayment,initPassengers,Magic Number
Reservation-System-Starter,flight.reservation,CustomerTwoPassengersPaypalPayment,thenTheBookingShouldBeStopped,Long Statement
Reservation-System-Starter,flight.reservation,CustomerTwoPassengersPaypalPayment,thenTheBookingShouldBeStopped,Magic Number
Reservation-System-Starter,flight.reservation,CustomerTwoPassengersPaypalPayment,thenTheBookingShouldBeStopped,Magic Number
Reservation-System-Starter,flight.reservation,CustomerTwoPassengersPaypalPayment,thenTheBookingShouldBeStopped,Magic Number
Reservation-System-Starter,flight.reservation,CustomerTwoPassengersPaypalPayment,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,CustomerTwoPassengersPaypalPayment,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,CustomerTwoPassengersPaypalPayment,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,CustomerTwoPassengersPaypalPayment,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,NoHelicoptersInFrankfurt,thenFlightNotAvailable,Long Statement
Reservation-System-Starter,flight.reservation,FlightIsPossible,initFlights,Magic Number
Reservation-System-Starter,flight.reservation,FlightIsPossible,initPassengers,Magic Number
Reservation-System-Starter,flight.reservation,FlightIsPossible,thenTheBookingShouldBeStopped,Long Statement
Reservation-System-Starter,flight.reservation,FlightIsPossible,thenTheBookingShouldBeStopped,Magic Number
Reservation-System-Starter,flight.reservation,FlightIsPossible,thenTheBookingShouldBeStopped,Magic Number
Reservation-System-Starter,flight.reservation,FlightIsPossible,thenTheBookingShouldBeStopped,Magic Number
Reservation-System-Starter,flight.reservation,FlightIsPossible,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,FlightIsPossible,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,FlightIsPossible,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,FlightIsPossible,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,H1FullyBooked,initPassengers,Magic Number
Reservation-System-Starter,flight.reservation,H1FullyBooked,thenTheBookingShouldBeStopped,Long Statement
Reservation-System-Starter,flight.reservation,H1FullyBooked,thenTheBookingShouldBeStopped,Magic Number
Reservation-System-Starter,flight.reservation,H1FullyBooked,thenTheBookingShouldBeStopped,Magic Number
Reservation-System-Starter,flight.reservation,H1FullyBooked,thenTheBookingShouldBeStopped,Magic Number
Reservation-System-Starter,flight.reservation,H1Empty,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,H1Empty,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,H1Empty,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,H1Empty,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,CustomerOnePassengerCreditCardPayment,init,Magic Number
Reservation-System-Starter,flight.reservation,CustomerOnePassengerCreditCardPayment,initCreditCard,Magic Number
Reservation-System-Starter,flight.reservation,CustomerOnePassengerCreditCardPayment,thenThePaymentAndBookingShouldNotSucceed,Magic Number
Reservation-System-Starter,flight.reservation,CustomerOnePassengerCreditCardPayment,thenTheBookingShouldNotSucceed,Magic Number
Reservation-System-Starter,flight.reservation,CustomerOnePassengerCreditCardPayment,initCreditCard,Magic Number
Reservation-System-Starter,flight.reservation,CustomerOnePassengerCreditCardPayment,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,CustomerOnePassengerCreditCardPayment,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,CustomerOnePassengerCreditCardPayment,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,CustomerOnePassengerCreditCardPayment,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,CreditCardLimitReached,initCreditCard,Magic Number
Reservation-System-Starter,flight.reservation,CreditCardLimitReached,thenThePaymentAndBookingShouldNotSucceed,Magic Number
Reservation-System-Starter,flight.reservation,CreditCardNotValid,thenTheBookingShouldNotSucceed,Magic Number
Reservation-System-Starter,flight.reservation,CreditCardValid,initCreditCard,Magic Number
Reservation-System-Starter,flight.reservation,CreditCardValid,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,CreditCardValid,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,CreditCardValid,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,CreditCardValid,thenTheBookingShouldSucceed,Magic Number
Reservation-System-Starter,flight.reservation,ScheduleTest,thenSearchForAnUnknownElementShouldReturnNull,Magic Number
Reservation-System-Starter,flight.reservation,ScheduleTest,scheduleOneFlight,Magic Number
Reservation-System-Starter,flight.reservation,ScheduleTest,thenScheduleShouldContainOneElement,Magic Number
Reservation-System-Starter,flight.reservation,ScheduleTest,thenAFlightShouldBeRemoved,Magic Number
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheCorrectFlightShouldBeRemoved,Magic Number
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheCorrectFlightShouldBeRemoved,Magic Number
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheCorrectFlightShouldBeRemoved,Magic Number
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheCorrectFlightShouldBeRemoved,Magic Number
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheScheduleShouldContainTheAddedFlight,Long Statement
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheScheduleShouldContainTheAddedFlight,Long Statement
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheScheduleShouldContainTheAddedFlight,Long Statement
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheScheduleShouldContainTheAddedFlight,Long Statement
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,ScheduleTest,thenTheFlightShouldBeReturned,Magic Number
Reservation-System-Starter,flight.reservation,GivenAnEmptySchedule,thenSearchForAnUnknownElementShouldReturnNull,Magic Number
Reservation-System-Starter,flight.reservation,GivenAnEmptySchedule,scheduleOneFlight,Magic Number
Reservation-System-Starter,flight.reservation,WhenAFlightIsScheduled,scheduleOneFlight,Magic Number
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenScheduleShouldContainOneElement,Magic Number
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenAFlightShouldBeRemoved,Magic Number
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenTheCorrectFlightShouldBeRemoved,Magic Number
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenTheCorrectFlightShouldBeRemoved,Magic Number
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenTheCorrectFlightShouldBeRemoved,Magic Number
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenTheCorrectFlightShouldBeRemoved,Magic Number
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenTheScheduleShouldContainTheAddedFlight,Long Statement
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenTheScheduleShouldContainTheAddedFlight,Long Statement
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenTheScheduleShouldContainTheAddedFlight,Long Statement
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenTheScheduleShouldContainTheAddedFlight,Long Statement
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,GivenAnExistingSchedule,thenTheFlightShouldBeReturned,Magic Number
Reservation-System-Starter,flight.reservation,AFlightIsRemoved,thenAFlightShouldBeRemoved,Magic Number
Reservation-System-Starter,flight.reservation,AFlightIsRemoved,thenTheCorrectFlightShouldBeRemoved,Magic Number
Reservation-System-Starter,flight.reservation,AFlightIsRemoved,thenTheCorrectFlightShouldBeRemoved,Magic Number
Reservation-System-Starter,flight.reservation,AFlightIsRemoved,thenTheCorrectFlightShouldBeRemoved,Magic Number
Reservation-System-Starter,flight.reservation,AFlightIsRemoved,thenTheCorrectFlightShouldBeRemoved,Magic Number
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Long Statement
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Long Statement
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Long Statement
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Long Statement
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,AFlightIsScheduled,thenTheScheduleShouldContainTheAddedFlight,Magic Number
Reservation-System-Starter,flight.reservation,AFlightIsSearched,thenTheFlightShouldBeReturned,Magic Number
Reservation-System-Starter,flight.reservation.payment,PayPalPayment,PayPalPayment,Complex Conditional
Reservation-System-Starter,flight.reservation.payment,CreditCard,CreditCard,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
Reservation-System-Starter,flight.reservation.plane,PassengerPlane,PassengerPlane,Missing default
Reservation-System-Starter,flight.reservation.plane,AircraftFactory,create,Complex Method
Reservation-System-Starter,flight.reservation.plane,AircraftFactory,create,Missing default
Reservation-System-Starter,flight.reservation.plane,Helicopter,Helicopter,Magic Number
Reservation-System-Starter,flight.reservation.plane,Helicopter,Helicopter,Magic Number
Reservation-System-Starter,flight.reservation.plane,Helicopter,Helicopter,Magic Number
Reservation-System-Starter,flight.reservation.plane,Helicopter,Helicopter,Magic Number
Reservation-System-Starter,flight.reservation.flight,Schedule,scheduleFlight,Long Statement
Reservation-System-Starter,flight.reservation.flight,Schedule,removeFlight,Complex Conditional
Reservation-System-Starter,flight.reservation.flight,Schedule,removeFlight,Long Statement
Reservation-System-Starter,flight.reservation.flight,ScheduledFlight,ScheduledFlight,Long Parameter List
Reservation-System-Starter,flight.reservation.flight,ScheduledFlight,ScheduledFlight,Long Parameter List
Reservation-System-Starter,(default package),MavenWrapperDownloader,main,Empty catch clause
Reservation-System-Starter,(default package),MavenWrapperDownloader,main,Long Identifier
